set,instance,n,capacity,best_known,cost,dev_pct,runtime_s,runtime_total_s,iters,routes,restarts_used,best_seed,time_limit_used,path
M,M-n151-k12,151,200,1015,1107.2730386012547,9.090939763670416,18.126044273376465,176.56018352508545,2085,12,10,105,18.12,data/instances/M/M-n151-k12.vrp
P,P-n101-k4,101,400,681,735.4808251084221,8.000121161295462,10.007134914398192,10.007134914398192,1103,4,1,100,10.0,data/instances/P/P-n101-k4.vrp
M,M-n200-k16,200,200,1274,1371.561219558766,7.657866527375664,20.773077964782715,206.52982211112976,2162,17,10,109,24.0,data/instances/M/M-n200-k16.vrp
M,M-n200-k17,200,200,1275,1371.561219558766,7.573428985001253,20.770358085632324,206.22744417190552,2162,17,10,109,24.0,data/instances/M/M-n200-k17.vrp
F,F-n72-k4,72,30000,237,254.07351152880577,7.204013303293573,10.002858877182009,10.002858877182009,1428,5,1,100,10.0,data/instances/F/F-n72-k4.vrp
P,P-n76-k5,76,280,627,671.6415772840434,7.11986878533387,10.000102996826172,10.000102996826172,1640,5,1,100,10.0,data/instances/P/P-n76-k5.vrp
P,P-n76-k4,76,350,593,627.8870904827072,5.883151852058552,10.005329132080078,10.005329132080078,1553,4,1,100,10.0,data/instances/P/P-n76-k4.vrp
E,E-n101-k8,101,200,815,860.9513091277672,5.638197438989843,10.002919912338257,10.002919912338257,1390,8,1,100,10.0,data/instances/E/E-n101-k8.vrp
E,E-n101-k14,101,112,1067,1124.7477997807769,5.41216492790786,10.006217002868652,10.006217002868652,1605,14,1,100,10.0,data/instances/E/E-n101-k14.vrp
E,E-n76-k10,76,140,830,874.2735966395245,5.334168269822229,10.003943920135498,10.003943920135498,1798,10,1,100,10.0,data/instances/E/E-n76-k10.vrp
